№ п.п.,Адрес,Год постройки,Материал крыши,Материал стен,Износ  дома в процентах,Число этажей,Количество подъездов,Количество лифтов,Количество систем ДУ и ППА,Количество мусоропроводов,Количество газовых плит,Количество электроплит,Количество квартир,Площадь жилая,Площадь нежилая,Площадь лестничных клеток,Площадь крыши,Площадь подвалов ,Площадь чердака
1,"Алтайская ул., д.2",1967.0,Мягкая,кирпич,28.0,9.0,8.0,8.0,0.0,8.0,288.0,0.0,288.0,12764.9,0.0,1227.4,2236.0,1999.0,1999.0
2,"Алтайская ул., д.5",1980.0,Мягкая,блочный,20.0,16.0,1.0,2.0,1.0,1.0,0.0,111.0,111.0,5359.3,0.0,897.0,533.0,489.4,489.4
3,"Алтайская ул., д.6",1967.0,Мягкая,блочный,26.0,12.0,1.0,2.0,1.0,1.0,84.0,0.0,84.0,3645.7,0.0,494.0,467.0,424.0,424.0
4,"Алтайская ул., д.7",1979.0,Мягкая,блочный,17.0,16.0,2.0,4.0,2.0,2.0,0.0,207.0,207.0,10783.5,0.0,1872.0,1159.0,971.5,971.5
5,"Алтайская ул., д.8",1967.0,Мягкая,блочный,30.0,12.0,1.0,2.0,1.0,1.0,81.0,0.0,81.0,3495.7,172.9,501.0,467.0,425.0,425.0
6,"Алтайская ул., д.9, к.1",1978.0,Мягкая,панельный,15.0,9.0,8.0,8.0,0.0,8.0,0.0,287.0,287.0,14238.7,0.0,1247.0,2515.0,2110.4,2110.4
7,"Алтайская ул., д.9, к.2",1980.0,Мягкая,блочный,13.0,16.0,1.0,2.0,1.0,1.0,0.0,105.0,105.0,5044.3,262.9,927.0,663.0,543.4,543.4
8,"Алтайская ул., д.10",1969.0,Мягкая,панельный,19.0,9.0,8.0,8.0,0.0,8.0,286.0,0.0,287.0,14201.1,0.0,1688.0,2288.0,2079.9,2079.9
9,"Алтайская ул., д.11",1978.0,Мягкая,панельный,15.0,9.0,4.0,4.0,0.0,4.0,0.0,144.0,144.0,7223.3,0.0,742.0,1323.0,1056.0,1056.0
10,"Алтайская ул., д.14",1968.0,Мягкая,блочный,24.0,12.0,1.0,2.0,1.0,1.0,84.0,0.0,84.0,3660.0,0.0,498.0,492.0,419.8,419.8
11,"Алтайская ул., д.15",1978.0,Мягкая,панельный,16.0,9.0,4.0,4.0,0.0,4.0,0.0,144.0,144.0,7165.3,0.0,723.0,1323.0,1056.3,1056.3
12,"Алтайская ул., д.16",1967.0,Мягкая,блочный,26.0,12.0,1.0,2.0,1.0,1.0,84.0,0.0,84.0,3627.5,0.0,506.0,492.0,421.4,421.4
13,"Алтайская ул., д.17, к.1",1980.0,Мягкая,панельный,20.0,9.0,8.0,8.0,0.0,8.0,0.0,285.0,285.0,14024.7,105.7,1701.0,2623.0,2144.8,2144.8
14,"Алтайская ул., д.18",1970.0,Мягкая,панельный,22.0,9.0,8.0,8.0,0.0,8.0,286.0,0.0,286.0,14171.4,33.3,1647.0,2495.0,1078.0,1078.0
15,"Алтайская ул., д.19",1977.0,Мягкая,панельный,15.0,9.0,4.0,4.0,0.0,4.0,0.0,144.0,144.0,7074.79,0.0,699.0,1346.0,1086.3,1086.3
